EEID;First Name;Last Name;Gender;Age;Retirement Years;Job Title;Department;Business Unit;Ethnicity;Hire Date;año;mes;dia;Annual Salary;Bonus %;Total Salary;Country;City;Exit Date
E04116;David;Barnes;Male;64;1;Director;IT;Corporate;Caucasian;3/11/2013;2013;11;3;186,503;0,24;231,26372;United States;Columbus;
E04625;Adam;Dang;Male;45;20;Director;Sales;Research & Development;Asian;9/7/2002;2002;7;9;166,331;0,18;196,27058;China;Chongqing;
E03680;Elias;Alvarado;Male;56;9;Sr. Manger;IT;Manufacturing;Latino;9/1/2012;2012;1;9;146,14;0,1;160,754;Brazil;Manaus;
E04732;Eva;Rivera;Female;36;29;Director;Sales;Manufacturing;Latino;2/4/2021;2021;4;2;151,703;0,21;183,56063;United States;Miami;
E03484;Logan;Rivera;Male;59;6;Director;IT;Research & Development;Latino;24/5/2002;2002;5;24;172,787;0,28;221,16736;Brazil;Rio de Janerio;
E00671;Leonardo;Dixon;Male;37;28;Analyst;Sales;Speciality Products;Caucasian;5/9/2019;2019;9;5;49,998;0;49,998;United States;Seattle;
E02071;Mateo;Her;Male;44;21;Vice President;Sales;Speciality Products;Asian;2/3/2014;2014;3;2;207,172;0,31;271,39532;China;Chongqing;
E02206;Jose;Henderson;Male;41;24;Director;Human Resources;Speciality Products;Black;17/4/2015;2015;4;17;152,239;0,23;187,25397;United States;Columbus;
E04545;Abigail;Mejia;Female;56;9;Quality Engineer;Engineering;Corporate;Latino;5/2/2005;2005;2;5;98,581;0;98,581;Brazil;Rio de Janerio;
E00154;Wyatt;Chin;Male;43;22;Vice President;Engineering;Speciality Products;Asian;7/6/2004;2004;6;7;246,231;0,31;322,56261;United States;Seattle;
E03343;Carson;Lu;Male;64;1;Engineering Manager;Engineering;Speciality Products;Asian;4/12/1996;1996;12;4;99,354;0,12;111,27648;China;Beijing;
E00304;Dylan;Choi;Male;63;2;Vice President;IT;Corporate;Asian;11/5/2012;2012;5;11;231,141;0,34;309,72894;China;Beijing;
E02594;Ezekiel;Kumar;Male;28;37;IT Coordinator;IT;Research & Development;Asian;25/6/2017;2017;6;25;54,775;0;54,775;United States;Columbus;
E00402;Dominic;Guzman;Male;65;0;Analyst;Finance;Manufacturing;Latino;16/5/2004;2004;5;16;55,499;0;55,499;Brazil;Manaus;
E01994;Angel;Powell;Male;61;4;Analyst II;Sales;Research & Development;Caucasian;11/7/2008;2008;7;11;66,521;0;66,521;United States;Seattle;
E03549;Mateo;Vu;Male;30;35;Account Representative;Sales;Speciality Products;Asian;29/9/2016;2016;9;29;59,1;0;59,1;China;Chongqing;
E03247;Caroline;Jenkins;Female;27;38;Analyst;Finance;Research & Development;Caucasian;6/5/2018;2018;5;6;49,011;0;49,011;United States;Chicago;
E02074;Nora;Brown;Female;32;33;Enterprise Architect;IT;Manufacturing;Caucasian;11/2/2014;2014;2;11;99,575;0;99,575;United States;Austin;
E04152;Adeline;Huang;Female;34;31;Controls Engineer;Engineering;Manufacturing;Asian;16/12/2019;2019;12;16;99,989;0;99,989;China;Chengdu;
E01628;Jackson;Perry;Male;27;38;Vice President;Marketing;Research & Development;Caucasian;20/10/2019;2019;10;20;256,42;0,3;333,346;United States;Phoenix;
E04285;Riley;Padilla;Female;35;30;Technical Architect;IT;Manufacturing;Latino;15/5/2013;2013;5;15;78,94;0;78,94;United States;Miami;
E01417;Leah;Pena;Female;57;8;Enterprise Architect;IT;Corporate;Latino;3/1/1994;1994;1;3;82,872;0;82,872;Brazil;Manaus;
E01754;Owen;Lam;Male;30;35;Sr. Business Partner;Human Resources;Speciality Products;Asian;29/5/2017;2017;5;29;86,317;0;86,317;China;Chengdu;16/7/2017
E03749;Kennedy;Foster;Female;53;12;Manager;Marketing;Speciality Products;Caucasian;23/11/2013;2013;11;23;113,135;0,05;118,79175;United States;Austin;
E03574;John;Moore;Male;52;13;Vice President;IT;Speciality Products;Caucasian;8/11/2005;2005;11;8;199,808;0,32;263,74656;United States;Seattle;
E04600;William;Vu;Male;37;28;Account Representative;Sales;Speciality Products;Asian;14/11/2013;2013;11;14;56,037;0;56,037;China;Shanghai;
E00586;Sadie;Washington;Female;29;36;Sr. Manger;Marketing;Research & Development;Caucasian;24/5/2019;2019;5;24;122,35;0,12;137,032;United States;Phoenix;
E03538;Gabriel;Holmes;Male;40;25;Enterprise Architect;IT;Research & Development;Caucasian;4/11/2010;2010;11;4;92,952;0;92,952;United States;Seattle;
E02185;Wyatt;Rojas;Male;32;33;Computer Systems Manager;IT;Corporate;Latino;20/3/2013;2013;3;20;79,921;0,05;83,91705;United States;Austin;
E03830;Eva;Coleman;Female;37;28;Director;IT;Research & Development;Black;20/9/2009;2009;9;20;167,199;0,2;200,6388;United States;Seattle;
E03720;Dominic;Clark;Male;52;13;Quality Engineer;Engineering;Research & Development;Caucasian;17/10/2012;2012;10;17;71,476;0;71,476;United States;Phoenix;
E03025;Lucy;Alexander;Female;45;20;Director;Engineering;Manufacturing;Caucasian;29/10/2014;2014;10;29;189,42;0,2;227,304;United States;Seattle;
E04917;Everleigh;Washington;Female;64;1;HRIS Analyst;Human Resources;Research & Development;Caucasian;20/10/2001;2001;10;20;64,057;0;64,057;United States;Phoenix;
E00415;Leilani;Butler;Female;27;38;Analyst II;Marketing;Manufacturing;Black;21/9/2021;2021;9;21;68,728;0;68,728;United States;Phoenix;
E02862;Peyton;Huang;Female;25;40;Sr. Manger;IT;Manufacturing;Asian;2/7/2021;2021;7;2;125,633;0,11;139,45263;China;Beijing;
E04207;John;Contreras;Male;35;30;Analyst II;Marketing;Manufacturing;Latino;15/5/2011;2011;5;15;66,889;0;66,889;United States;Columbus;
E02139;Rylee;Yu;Female;36;29;Director;Accounting;Research & Development;Asian;29/9/2015;2015;9;29;178,7;0,29;230,523;United States;Seattle;
E01797;Piper;Lewis;Female;33;32;Field Engineer;Engineering;Research & Development;Caucasian;22/12/2018;2018;12;22;83,99;0;83,99;United States;Chicago;
E01839;Stella;Alexander;Female;52;13;Automation Engineer;Engineering;Corporate;Caucasian;10/12/2005;2005;12;10;102,043;0;102,043;United States;Chicago;
E01633;Addison;Do;Female;46;19;Operations Engineer;Engineering;Manufacturing;Asian;30/5/2001;2001;5;30;90,678;0;90,678;United States;Columbus;
E01848;Zoey;Jackson;Female;46;19;Business Partner;Human Resources;Manufacturing;Black;21/8/2008;2008;8;21;59,067;0;59,067;United States;Miami;
E00716;John;Chow;Male;45;20;Sr. Manger;Marketing;Research & Development;Asian;11/3/2021;2021;3;11;135,062;0,15;155,3213;China;Chengdu;
E00699;Ava;Ayala;Female;55;10;Sr. Manger;IT;Corporate;Latino;16/8/2006;2006;8;16;159,044;0,1;174,9484;Brazil;Manaus;
E00502;Natalia;Salazar;Female;44;21;Sr. Analyst;Accounting;Manufacturing;Latino;2/1/2019;2019;1;2;74,691;0;74,691;Brazil;Manaus;8/7/2020
E04000;Skylar;Carrillo;Female;44;21;Engineering Manager;Engineering;Corporate;Latino;18/12/2008;2008;12;18;92,753;0,13;104,81089;United States;Austin;24/6/2021
E02112;Christian;Sanders;Male;45;20;Vice President;Human Resources;Speciality Products;Black;7/8/2013;2013;8;7;236,946;0,37;324,61602;United States;Seattle;
E03824;Penelope;Coleman;Female;36;29;Analyst;Finance;Corporate;Black;27/8/2021;2021;8;27;48,906;0;48,906;United States;Miami;
E03906;Piper;Richardson;Female;38;27;Sr. Analyst;Sales;Corporate;Caucasian;27/1/2008;2008;1;27;80,024;0;80,024;United States;Columbus;
E00436;Everly;Walker;Female;41;24;HRIS Analyst;Human Resources;Speciality Products;Caucasian;23/10/2009;2009;10;23;54,415;0;54,415;United States;Seattle;22/1/2014
E04798;Aurora;Ali;Female;30;35;Manager;Marketing;Research & Development;Asian;24/4/2016;2016;4;24;120,341;0,07;128,76487;United States;Seattle;
E01249;Penelope;Guerrero;Female;43;22;Vice President;IT;Speciality Products;Latino;4/8/2009;2009;8;4;208,415;0,35;281,36025;United States;Seattle;
E03349;Anna;Mehta;Female;32;33;Cloud Infrastructure Architect;IT;Speciality Products;Asian;5/1/2020;2020;1;5;78,844;0;78,844;United States;Seattle;
E02966;William;Foster;Male;58;7;Field Engineer;Engineering;Manufacturing;Caucasian;23/5/2002;2002;5;23;76,354;0;76,354;United States;Phoenix;26/9/2021
E01499;Jade;Rojas;Female;37;28;Director;Finance;Speciality Products;Latino;28/1/2019;2019;1;28;165,927;0,2;199,1124;United States;Phoenix;
E00105;Isla;Espinoza;Female;38;27;Manager;Accounting;Speciality Products;Latino;16/11/2021;2021;11;16;109,812;0,09;119,69508;Brazil;Manaus;
E00665;David;Chu;Male;55;10;Controls Engineer;Engineering;Corporate;Asian;3/9/1998;1998;9;3;86,299;0;86,299;United States;Seattle;
E00791;Thomas;Padilla;Male;57;8;Vice President;Marketing;Research & Development;Latino;26/7/2003;2003;7;26;206,624;0,4;289,2736;Brazil;Sao Paulo;
E01540;Miles;Salazar;Male;36;29;IT Coordinator;IT;Manufacturing;Latino;23/12/2010;2010;12;23;53,215;0;53,215;Brazil;Sao Paulo;27/3/2014
E04474;Mila;Hong;Female;30;35;Test Engineer;Engineering;Research & Development;Asian;22/5/2017;2017;5;22;86,858;0;86,858;China;Chongqing;8/10/2017
E03417;Benjamin;Moua;Male;40;25;Computer Systems Manager;IT;Manufacturing;Asian;2/7/2007;2007;7;2;93,971;0,08;101,48868;China;Chongqing;
E00254;Samuel;Morales;Male;34;31;Analyst II;Finance;Corporate;Latino;27/6/2015;2015;6;27;57,008;0;57,008;United States;Phoenix;
E02166;John;Soto;Male;60;5;Sr. Manger;Finance;Manufacturing;Latino;23/9/2015;2015;9;23;141,899;0,15;163,18385;United States;Phoenix;
E00935;Joseph;Martin;Male;41;24;Analyst II;Marketing;Corporate;Black;13/9/2016;2016;9;13;64,847;0;64,847;United States;Miami;
E01525;Jose;Ross;Male;53;12;Engineering Manager;Engineering;Research & Development;Caucasian;8/4/1992;1992;4;8;116,878;0,11;129,73458;United States;Miami;
E00386;Parker;James;Male;45;20;Quality Engineer;Engineering;Speciality Products;Black;5/2/2005;2005;2;5;70,505;0;70,505;United States;Austin;
E00416;Everleigh;Fernandez;Female;30;35;Director;Engineering;Research & Development;Latino;22/5/2016;2016;5;22;189,702;0,28;242,81856;Brazil;Manaus;21/12/2020
E03383;Lincoln;Hall;Male;26;39;Director;Accounting;Speciality Products;Caucasian;28/7/2020;2020;7;28;180,664;0,27;229,44328;United States;Chicago;
E01516;Willow;Mai;Female;45;20;Business Partner;Human Resources;Manufacturing;Asian;17/12/2003;2003;12;17;48,345;0;48,345;China;Chengdu;
E01234;Jack;Cheng;Male;42;23;Director;Human Resources;Manufacturing;Asian;16/1/2014;2014;1;16;152,214;0,3;197,8782;China;Beijing;
E03440;Genesis;Navarro;Female;41;24;Cloud Infrastructure Architect;IT;Corporate;Latino;28/4/2009;2009;4;28;69,803;0;69,803;Brazil;Manaus;
E00431;Eliza;Hernandez;Female;48;17;Network Architect;IT;Corporate;Latino;4/7/2019;2019;7;4;76,588;0;76,588;Brazil;Rio de Janerio;
E01258;Gabriel;Brooks;Male;29;36;Network Engineer;IT;Manufacturing;Caucasian;10/12/2018;2018;12;10;84,596;0;84,596;United States;Miami;
E00440;Jack;Huynh;Male;27;38;Manager;Marketing;Research & Development;Asian;25/9/2018;2018;9;25;114,441;0,1;125,8851;China;Chongqing;22/12/2019
E00595;Everly;Chow;Female;33;32;Sr. Manger;Finance;Speciality Products;Asian;21/4/2018;2018;4;21;140,402;0,15;161,4623;China;Beijing;
E00972;Amelia;Salazar;Female;26;39;Analyst II;Finance;Corporate;Latino;23/4/2019;2019;4;23;59,817;0;59,817;Brazil;Sao Paulo;
E04562;Xavier;Zheng;Male;31;34;Account Representative;Sales;Manufacturing;Asian;22/7/2017;2017;7;22;55,854;0;55,854;United States;Austin;
E02802;Matthew;Chau;Male;53;12;Sr. Business Partner;Human Resources;Research & Development;Asian;16/11/2002;2002;11;16;95,998;0;95,998;United States;Seattle;
E01427;Mia;Cheng;Female;34;31;Sr. Manger;Sales;Manufacturing;Asian;22/4/2015;2015;4;22;154,941;0,13;175,08333;United States;Phoenix;
E04568;Rylee;Yu;Female;54;11;Vice President;Finance;Speciality Products;Asian;10/7/2011;2011;7;10;247,022;0,3;321,1286;China;Beijing;
E04931;Zoe;Romero;Female;32;33;Network Architect;IT;Manufacturing;Latino;5/10/2021;2021;10;5;88,072;0;88,072;Brazil;Sao Paulo;
E00443;Nolan;Bui;Male;28;37;Computer Systems Manager;IT;Research & Development;Asian;26/5/2020;2020;5;26;67,925;0,08;73,359;China;Shanghai;
E03890;Nevaeh;Jones;Female;31;34;Vice President;Sales;Manufacturing;Caucasian;20/8/2020;2020;8;20;219,693;0,3;285,6009;United States;Austin;
E01194;Samantha;Adams;Female;45;20;Test Engineer;Engineering;Research & Development;Caucasian;22/4/2013;2013;4;22;61,773;0;61,773;United States;Seattle;
E02875;Madeline;Shin;Female;48;17;Computer Systems Manager;IT;Speciality Products;Asian;9/1/2007;2007;1;9;74,546;0,09;81,25514;United States;Seattle;
E04959;Noah;King;Male;56;9;Development Engineer;Engineering;Speciality Products;Black;27/1/2015;2015;1;27;62,575;0;62,575;United States;Miami;
E03816;Leilani;Chow;Female;27;38;Director;Human Resources;Corporate;Asian;23/2/2021;2021;2;23;199,041;0,16;230,88756;China;Beijing;
E01261;Connor;Simmons;Male;55;10;Analyst II;Accounting;Speciality Products;Caucasian;5/4/2007;2007;4;5;52,31;0;52,31;United States;Miami;12/10/2018
E03612;Grayson;Cooper;Male;64;1;Sr. Manger;Finance;Speciality Products;Black;29/6/2013;2013;6;29;159,571;0,1;175,5281;United States;Columbus;
E01388;Ivy;Soto;Female;50;15;Field Engineer;Engineering;Research & Development;Latino;23/10/1997;1997;10;23;91,763;0;91,763;United States;Austin;
E03875;Aurora;Simmons;Female;51;14;Development Engineer;Engineering;Corporate;Caucasian;22/12/1995;1995;12;22;96,475;0;96,475;United States;Austin;
E04413;Andrew;Thomas;Male;36;29;Controls Engineer;Engineering;Manufacturing;Caucasian;2/12/2016;2016;12;2;113,781;0;113,781;United States;Columbus;
E00691;Ezekiel;Desai;Male;42;23;Director;Finance;Research & Development;Asian;15/1/2003;2003;1;15;166,599;0,26;209,91474;United States;Seattle;
E03047;Gabriella;Gupta;Female;41;24;Sr. Account Representative;Sales;Corporate;Asian;15/2/2005;2005;2;15;95,372;0;95,372;China;Shanghai;
E04903;Skylar;Liu;Female;29;36;Director;IT;Research & Development;Asian;9/8/2020;2020;8;9;161,203;0,15;185,38345;China;Chengdu;
E04735;Nova;Coleman;Female;44;21;System Administrator ;IT;Manufacturing;Caucasian;13/12/2006;2006;12;13;74,738;0;74,738;United States;Miami;
E02850;Evelyn;Dinh;Female;41;24;Director;Sales;Research & Development;Asian;10/8/2018;2018;8;10;171,173;0,21;207,11933;United States;Columbus;
E03583;Brooks;Marquez;Male;61;4;Vice President;Sales;Corporate;Latino;24/9/2019;2019;9;24;201,464;0,37;276,00568;United States;Chicago;
E02017;Connor;Joseph;Male;50;15;Director;Human Resources;Corporate;Caucasian;22/7/1998;1998;7;22;174,895;0,15;201,12925;United States;Chicago;
E01642;Mia;Lam;Female;49;16;Sr. Manger;IT;Manufacturing;Asian;18/4/2006;2006;4;18;134,486;0,14;153,31404;United States;Austin;
E04379;Scarlett;Rodriguez;Female;60;5;Sr. Analyst;Finance;Manufacturing;Latino;24/2/2007;2007;2;24;71,699;0;71,699;Brazil;Manaus;
E04131;Cora;Rivera;Female;42;23;Sr. Analyst;Marketing;Corporate;Latino;2/1/2021;2021;1;2;94,43;0;94,43;United States;Seattle;
E02872;Liam;Jung;Male;39;26;Manager;Finance;Corporate;Asian;14/1/2010;2010;1;14;103,504;0,07;110,74928;China;Chengdu;
E02331;Sophia;Huynh;Female;55;10;Enterprise Architect;IT;Manufacturing;Asian;9/8/2005;2005;8;9;92,771;0;92,771;United States;Miami;
E00417;Athena;Carrillo;Female;39;26;Analyst II;Finance;Speciality Products;Latino;6/4/2006;2006;4;6;71,531;0;71,531;United States;Columbus;
E04267;Greyson;Sanders;Male;28;37;Cloud Infrastructure Architect;IT;Speciality Products;Black;6/3/2019;2019;3;6;90,304;0;90,304;United States;Chicago;
E03061;Vivian;Lewis;Female;65;0;Manager;Marketing;Manufacturing;Caucasian;7/9/2011;2011;9;7;104,903;0,1;115,3933;United States;Columbus;
E00013;Elena;Vang;Female;52;13;Analyst;Finance;Corporate;Asian;19/2/2019;2019;2;19;55,859;0;55,859;China;Beijing;
E04265;Natalia;Diaz;Female;62;3;Operations Engineer;Engineering;Corporate;Latino;12/10/2006;2006;10;12;79,785;0;79,785;United States;Austin;
E04769;Mila;Leung;Female;39;26;Sr. Analyst;Marketing;Corporate;Asian;5/11/2007;2007;11;5;99,017;0;99,017;China;Beijing;
E03042;Ava;Nelson;Female;63;2;Systems Analyst;IT;Manufacturing;Caucasian;1/4/1992;1992;4;1;53,809;0;53,809;United States;Phoenix;
E00527;Mateo;Chu;Male;27;38;Field Engineer;Engineering;Speciality Products;Asian;16/4/2020;2020;4;16;71,864;0;71,864;China;Chengdu;
E01095;Isla;Lai;Female;37;28;Vice President;Finance;Corporate;Asian;6/12/2011;2011;12;6;225,558;0,33;299,99214;China;Shanghai;
E03131;Ezekiel;Reed;Male;37;28;Sr. Manger;IT;Manufacturing;Caucasian;25/2/2014;2014;2;25;128,984;0,12;144,46208;United States;Miami;1/5/2021
E01713;Nolan;Guzman;Male;46;19;Field Engineer;Engineering;Speciality Products;Latino;20/6/1999;1999;6;20;96,997;0;96,997;Brazil;Sao Paulo;
E00128;Everleigh;Espinoza;Female;54;11;Director;Human Resources;Manufacturing;Latino;22/1/2018;2018;1;22;176,294;0,28;225,65632;United States;Austin;
E03849;Evelyn;Jung;Female;30;35;Analyst;Sales;Research & Development;Asian;14/2/2021;2021;2;14;48,34;0;48,34;China;Beijing;
E02464;Sophie;Silva;Female;28;37;Vice President;Engineering;Corporate;Latino;6/7/2017;2017;7;6;240,488;0,4;336,6832;Brazil;Rio de Janerio;
E00306;Mateo;Williams;Male;40;25;Enterprise Architect;IT;Manufacturing;Caucasian;22/1/2011;2011;1;22;97,339;0;97,339;United States;Austin;
E03737;Kennedy;Rahman;Female;49;16;Vice President;Human Resources;Manufacturing;Asian;28/2/2003;2003;2;28;211,291;0,37;289,46867;China;Chongqing;
E02783;Levi;Mendez;Male;39;26;Vice President;Sales;Research & Development;Latino;23/8/2011;2011;8;23;249,506;0,3;324,3578;Brazil;Rio de Janerio;
E02939;Julian;Fong;Male;61;4;Quality Engineer;Engineering;Speciality Products;Asian;22/11/2002;2002;11;22;80,95;0;80,95;China;Chongqing;
E02706;Nevaeh;Kang;Female;46;19;Automation Engineer;Engineering;Research & Development;Asian;10/1/2021;2021;1;10;86,538;0;86,538;China;Chengdu;
E00170;Hannah;Nelson;Female;35;30;Sr. Analyst;Marketing;Speciality Products;Caucasian;7/9/2019;2019;9;7;70,992;0;70,992;United States;Austin;
E01425;Anthony;Rogers;Male;33;32;Vice President;Engineering;Corporate;Caucasian;18/6/2015;2015;6;18;205,314;0,3;266,9082;United States;Columbus;
E00130;Paisley;Kang;Female;61;4;Vice President;Human Resources;Corporate;Asian;10/3/2017;2017;3;10;196,951;0,33;261,94483;China;Beijing;
E02094;Matthew;Gupta;Male;45;20;Network Engineer;IT;Speciality Products;Asian;18/9/2005;2005;9;18;67,686;0;67,686;China;Beijing;
E03567;Silas;Chavez;Male;51;14;Technical Architect;IT;Research & Development;Latino;15/4/2008;2008;4;15;86,431;0;86,431;United States;Columbus;
E04682;Colton;Thao;Male;55;10;Manager;Human Resources;Manufacturing;Asian;16/11/1995;1995;11;16;125,936;0,08;136,01088;China;Chongqing;
E00957;Genesis;Perry;Female;46;19;Sr. Manger;Sales;Corporate;Caucasian;18/7/2013;2013;7;18;149,712;0,14;170,67168;United States;Columbus;
E04458;Alexander;Bryant;Male;30;35;Field Engineer;Engineering;Speciality Products;Caucasian;2/10/2021;2021;10;2;88,758;0;88,758;United States;Seattle;
E01499;Elias;Zhang;Male;54;11;Solutions Architect;IT;Research & Development;Asian;13/7/2013;2013;7;13;83,639;0;83,639;China;Beijing;
E00521;Lily;Carter;Female;54;11;Network Architect;IT;Research & Development;Caucasian;18/5/1998;1998;5;18;68,268;0;68,268;United States;Phoenix;
E03717;Joseph;Ruiz;Male;45;20;Field Engineer;Engineering;Manufacturing;Latino;26/2/2002;2002;2;26;75,819;0;75,819;Brazil;Sao Paulo;
E01533;Avery;Bailey;Female;49;16;Sr. Analyst;Sales;Speciality Products;Caucasian;15/5/1996;1996;5;15;86,658;0;86,658;United States;Phoenix;
E04449;Miles;Hsu;Male;55;10;Analyst II;Finance;Research & Development;Asian;16/3/2014;2014;3;16;74,552;0;74,552;China;Chengdu;
E02855;Piper;Cheng;Female;62;3;Enterprise Architect;IT;Manufacturing;Asian;15/3/2009;2009;3;15;82,839;0;82,839;United States;Miami;
E00816;Skylar;Watson;Female;28;37;Network Architect;IT;Speciality Products;Caucasian;8/10/2021;2021;10;8;64,475;0;64,475;United States;Phoenix;
E02283;Jaxon;Park;Male;33;32;Network Architect;IT;Manufacturing;Asian;24/7/2020;2020;7;24;69,453;0;69,453;China;Chengdu;
E04888;Elijah;Henry;Male;32;33;Manager;IT;Corporate;Caucasian;3/1/2014;2014;1;3;127,148;0,1;139,8628;United States;Miami;
E03907;Camila;Watson;Female;32;33;Vice President;Finance;Speciality Products;Caucasian;2/1/2018;2018;1;2;190,253;0,33;253,03649;United States;Austin;
E02166;Lucas;Thomas;Male;55;10;Manager;Accounting;Research & Development;Caucasian;28/4/2000;2000;4;28;115,798;0,05;121,5879;United States;Miami;
E00431;Skylar;Doan;Female;58;7;Sr. Business Partner;Human Resources;Research & Development;Asian;21/8/1994;1994;8;21;93,102;0;93,102;United States;Seattle;13/12/2013
E01501;Hudson;Liu;Male;34;31;Engineering Manager;Engineering;Speciality Products;Asian;16/11/2017;2017;11;16;110,054;0,15;126,5621;United States;Miami;
E01141;Gianna;Williams;Female;27;38;Quality Engineer;Engineering;Research & Development;Black;28/1/2021;2021;1;28;95,786;0;95,786;United States;Chicago;
E02254;Jaxson;Sandoval;Male;61;4;Sr. Analyst;Sales;Speciality Products;Latino;3/5/2017;2017;5;3;90,855;0;90,855;Brazil;Sao Paulo;
E04504;Jameson;Alvarado;Male;47;18;Enterprise Architect;IT;Manufacturing;Latino;14/3/1999;1999;3;14;92,897;0;92,897;Brazil;Sao Paulo;
E03394;Joseph;Ly;Male;40;25;Vice President;Marketing;Speciality Products;Asian;28/2/2009;2009;2;28;242,919;0,31;318,22389;China;Chongqing;
E02942;Daniel;Richardson;Male;30;35;Director;Engineering;Speciality Products;Caucasian;20/5/2018;2018;5;20;184,368;0,29;237,83472;United States;Austin;
E04130;Elias;Figueroa;Male;45;20;Sr. Manger;Finance;Corporate;Latino;24/12/2021;2021;12;24;144,754;0,15;166,4671;United States;Phoenix;
E02848;Emma;Brooks;Female;30;35;Sr. Account Representative;Sales;Research & Development;Caucasian;18/12/2016;2016;12;18;89,458;0;89,458;United States;Austin;
E00085;Isla;Wong;Female;56;9;Vice President;Accounting;Corporate;Asian;16/3/2014;2014;3;16;190,815;0,4;267,141;United States;Austin;
E03956;Everly;Walker;Female;62;3;Sr. Manger;Sales;Research & Development;Caucasian;2/8/1999;1999;8;2;137,995;0,14;157,3143;United States;Austin;
E00672;Mila;Pena;Female;45;20;Sr. Business Partner;Human Resources;Manufacturing;Latino;21/12/2007;2007;12;21;93,84;0;93,84;Brazil;Manaus;
E04618;Mason;Zhao;Male;46;19;Technical Architect;IT;Research & Development;Asian;26/10/2021;2021;10;26;94,79;0;94,79;China;Chongqing;
E03506;Jaxson;Mai;Male;48;17;Vice President;Human Resources;Research & Development;Asian;8/3/2014;2014;3;8;197,367;0,39;274,34013;United States;Austin;
E00568;Ava;Garza;Female;27;38;Director;Accounting;Manufacturing;Latino;25/6/2018;2018;6;25;174,097;0,21;210,65737;United States;Phoenix;
E00535;Nathan;Mendez;Male;53;12;Manager;IT;Speciality Products;Latino;31/10/2006;2006;10;31;120,128;0,1;132,1408;United States;Austin;
E04630;Maria;Griffin;Female;59;6;Manager;Marketing;Manufacturing;Caucasian;25/4/2007;2007;4;25;129,708;0,05;136,1934;United States;Miami;
E00874;Alexander;Choi;Male;55;10;Manager;Marketing;Research & Development;Asian;18/9/1994;1994;9;18;102,27;0,1;112,497;United States;Chicago;
E01546;Maria;Hong;Female;43;22;Vice President;Finance;Speciality Products;Asian;31/7/2005;2005;7;31;249,686;0,31;327,08866;China;Chongqing;
E00941;Sophie;Ali;Female;55;10;Analyst;Finance;Manufacturing;Asian;28/3/2002;2002;3;28;50,475;0;50,475;United States;Columbus;
